iter	RMSE	RMSE
356	1.207343998	1.207343998
357	1.207110462	1.207110462
358	1.206706738	1.206706738
359	1.206287361	1.206287361
360	1.205826276	1.205826276
361	1.205552099	1.205552099
362	1.205213079	1.205213079
363	1.20464708	1.20464708
364	1.204237406	1.204237406
365	1.203684017	1.203684017
366	1.203241258	1.203241258
367	1.202575196	1.202575196
368	1.202053505	1.202053505
369	1.201517545	1.201517545
370	1.201078704	1.201078704
371	1.20006775	1.20006775
372	1.199555701	1.199555701
373	1.199293345	1.199293345
374	1.198951075	1.198951075
375	1.198650726	1.198650726
376	1.198233143	1.198233143
377	1.197770235	1.197770235
378	1.197228314	1.197228314
379	1.196516547	1.196516547
380	1.195964252	1.195964252
381	1.195601331	1.195601331
382	1.195280291	1.195280291
383	1.194955158	1.194955158
384	1.194442162	1.194442162
385	1.193809051	1.193809051
386	1.193299693	1.193299693
387	1.192966108	1.192966108
388	1.19253227	1.19253227
389	1.191972201	1.191972201
390	1.191603566	1.191603566
391	1.190890164	1.190890164
392	1.190528244	1.190528244
393	1.189966121	1.189966121
394	1.189729694	1.189729694
395	1.188993933	1.188993933
396	1.188641825	1.188641825
397	1.188194801	1.188194801
398	1.187961872	1.187961872
399	1.18744207	1.18744207
400	1.186549449	1.186549449
401	1.186040771	1.186040771
402	1.185744631	1.185744631
403	1.18540316	1.18540316
404	1.185135229	1.185135229
405	1.184733388	1.184733388
406	1.184303871	1.184303871
407	1.183980978	1.183980978
408	1.183266304	1.183266304
409	1.182900014	1.182900014
410	1.182616806	1.182616806
411	1.182033526	1.182033526
412	1.181610354	1.181610354
413	1.180992348	1.180992348
414	1.180519229	1.180519229
415	1.179929738	1.179929738
416	1.179229739	1.179229739
417	1.178639948	1.178639948
418	1.178407678	1.178407678
419	1.178216979	1.178216979
420	1.178020977	1.178020977
421	1.177593854	1.177593854
422	1.177233728	1.177233728
423	1.176779568	1.176779568
424	1.176062957	1.176062957
425	1.175543916	1.175543916
426	1.174890884	1.174890884
427	1.17453494	1.17453494
428	1.174129221	1.174129221
429	1.173931238	1.173931238
430	1.173514425	1.173514425
431	1.173206459	1.173206459
432	1.17280605	1.17280605
433	1.172375312	1.172375312
434	1.171875049	1.171875049
435	1.171421565	1.171421565
436	1.171171749	1.171171749
437	1.170684239	1.170684239
438	1.170189148	1.170189148
439	1.169761778	1.169761778
440	1.169221843	1.169221843
441	1.168877872	1.168877872
442	1.168599951	1.168599951
443	1.168122476	1.168122476
444	1.167462733	1.167462733
445	1.167038971	1.167038971
446	1.166596378	1.166596378
447	1.1661967	1.1661967
448	1.165979829	1.165979829
449	1.165622285	1.165622285
450	1.165270797	1.165270797
451	1.165008473	1.165008473
452	1.164221551	1.164221551
453	1.163608777	1.163608777
454	1.163215677	1.163215677
455	1.162793753	1.162793753
456	1.162271308	1.162271308
457	1.161898706	1.161898706
458	1.161231173	1.161231173
459	1.16077808	1.16077808
460	1.160172428	1.160172428
461	1.159372909	1.159372909
462	1.15876914	1.15876914
463	1.158348506	1.158348506
464	1.15820447	1.15820447
465	1.157754937	1.157754937
466	1.157510353	1.157510353
467	1.157252811	1.157252811
468	1.156873493	1.156873493
469	1.156614051	1.156614051
470	1.156151402	1.156151402
471	1.155857406	1.155857406
472	1.155460135	1.155460135
473	1.155049488	1.155049488
474	1.154810795	1.154810795
475	1.15451541	1.15451541
476	1.15406355	1.15406355
477	1.153529862	1.153529862
478	1.153136947	1.153136947
479	1.152693484	1.152693484
480	1.152287547	1.152287547
481	1.151806689	1.151806689
482	1.151500721	1.151500721
483	1.151097971	1.151097971
484	1.15035038	1.15035038
485	1.149751611	1.149751611
486	1.149487931	1.149487931
487	1.149019612	1.149019612
488	1.14862849	1.14862849
489	1.148352548	1.148352548
490	1.147272149	1.147272149
491	1.146726238	1.146726238
492	1.146131417	1.146131417
493	1.1457056	1.1457056
494	1.145298211	1.145298211
495	1.144907406	1.144907406
496	1.144299485	1.144299485
497	1.144038392	1.144038392
498	1.143425368	1.143425368
499	1.142973992	1.142973992
500	1.142768554	1.142768554
501	1.142532543	1.142532543
502	1.141945021	1.141945021
503	1.1410932	1.1410932
504	1.140725064	1.140725064
505	1.140177243	1.140177243
506	1.139842598	1.139842598
507	1.139393305	1.139393305
508	1.138872478	1.138872478
509	1.13844004	1.13844004
510	1.138224867	1.138224867
511	1.13775617	1.13775617
512	1.13720095	1.13720095
513	1.136745261	1.136745261
514	1.136409812	1.136409812
515	1.136135135	1.136135135
516	1.135494373	1.135494373
517	1.135151532	1.135151532
518	1.134574744	1.134574744
519	1.134121059	1.134121059
520	1.133765193	1.133765193
521	1.133536916	1.133536916
522	1.132832419	1.132832419
523	1.132531841	1.132531841
524	1.132307983	1.132307983
525	1.132006161	1.132006161
526	1.131526658	1.131526658
527	1.13121323	1.13121323
528	1.130895417	1.130895417
529	1.130684793	1.130684793
530	1.130221278	1.130221278
531	1.129764365	1.129764365
532	1.129299393	1.129299393
533	1.128990466	1.128990466
534	1.128590522	1.128590522
535	1.128092557	1.128092557
536	1.127618715	1.127618715
537	1.127128863	1.127128863
538	1.12696237	1.12696237
539	1.126518951	1.126518951
540	1.125902167	1.125902167
541	1.125440095	1.125440095
542	1.125258259	1.125258259
543	1.124908893	1.124908893
544	1.124594423	1.124594423
545	1.124424863	1.124424863
546	1.124127188	1.124127188
547	1.123492332	1.123492332
548	1.122991109	1.122991109
549	1.122225394	1.122225394
550	1.122077815	1.122077815
551	1.121754867	1.121754867
552	1.121219748	1.121219748
553	1.120937326	1.120937326
554	1.120721961	1.120721961
555	1.120491641	1.120491641
556	1.120066962	1.120066962
557	1.119661988	1.119661988
558	1.119440689	1.119440689
559	1.11925614	1.11925614
560	1.118678912	1.118678912
561	1.118417027	1.118417027
562	1.118175047	1.118175047
563	1.117806717	1.117806717
564	1.117355372	1.117355372
565	1.11701607	1.11701607
566	1.116419678	1.116419678
567	1.115871915	1.115871915
568	1.11544227	1.11544227
569	1.115188177	1.115188177
570	1.114787979	1.114787979
571	1.114343845	1.114343845
572	1.113904607	1.113904607
573	1.113352228	1.113352228
574	1.113061185	1.113061185
575	1.112516985	1.112516985
576	1.112157681	1.112157681
577	1.111895084	1.111895084
578	1.111513716	1.111513716
579	1.110893796	1.110893796
580	1.110479112	1.110479112
581	1.109928356	1.109928356
582	1.109715833	1.109715833
583	1.109091302	1.109091302
584	1.108821186	1.108821186
585	1.108375544	1.108375544
586	1.107892474	1.107892474
587	1.107508674	1.107508674
588	1.107111112	1.107111112
589	1.106680381	1.106680381
590	1.106455404	1.106455404
591	1.106170216	1.106170216
592	1.105812891	1.105812891
593	1.105498039	1.105498039
594	1.105330176	1.105330176
595	1.105105318	1.105105318
596	1.104674836	1.104674836
597	1.104429923	1.104429923
598	1.104156482	1.104156482
599	1.103780931	1.103780931
600	1.103312421	1.103312421
601	1.103009693	1.103009693
602	1.102435324	1.102435324
603	1.101958288	1.101958288
604	1.101500073	1.101500073
605	1.101327835	1.101327835
606	1.101143474	1.101143474
607	1.100891035	1.100891035
608	1.100240795	1.100240795
609	1.10001912	1.10001912
610	1.099572444	1.099572444
611	1.099114119	1.099114119
612	1.098860593	1.098860593
613	1.098518878	1.098518878
614	1.098188266	1.098188266
615	1.097921197	1.097921197
616	1.097414778	1.097414778
617	1.097091956	1.097091956
618	1.096650399	1.096650399
619	1.096415705	1.096415705
620	1.096127615	1.096127615
621	1.095852868	1.095852868
622	1.095580341	1.095580341
623	1.095203029	1.095203029
624	1.094806983	1.094806983
625	1.094527749	1.094527749
626	1.094393212	1.094393212
627	1.093965054	1.093965054
628	1.093591443	1.093591443
629	1.093279626	1.093279626
630	1.092975698	1.092975698
